name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Kylian Mbappé,France,Attack,right,178.0,FR1,Paris Saint-Germain,180000000.0,5,0,36,7,3329,26
Vinicius Junior,Brazil,Attack,right,176.0,ES1,Real Madrid,180000000.0,11,0,24,11,3084,24
Erling Haaland,Norway,Attack,left,195.0,GB1,Manchester City,180000000.0,1,0,38,6,3745,24
Phil Foden,England,Attack,left,171.0,GB1,Manchester City,150000000.0,3,0,27,12,4276,24
Bukayo Saka,England,Attack,left,178.0,GB1,Arsenal FC,140000000.0,4,0,20,14,3865,23
Lamine Yamal,Spain,Attack,left,178.0,ES1,FC Barcelona,120000000.0,6,0,7,10,2957,17
Lautaro Martínez,Argentina,Attack,right,174.0,IT1,Inter Milan,110000000.0,8,0,27,7,3461,27
Rodrygo,Brazil,Attack,right,174.0,ES1,Real Madrid,110000000.0,2,0,17,9,3707,24
Victor Osimhen,Nigeria,Attack,right,186.0,IT1,SSC Napoli,100000000.0,7,0,17,4,2476,26
Harry Kane,England,Attack,right,188.0,L1,Bayern Munich,100000000.0,3,0,44,12,3934,31
Julián Álvarez,Argentina,Attack,right,170.0,GB1,Manchester City,90000000.0,5,0,19,13,3480,25
Rafael Leão,Portugal,Attack,right,188.0,IT1,AC Milan,90000000.0,8,0,15,14,3548,25
Khvicha Kvaratskhelia,Georgia,Attack,both,183.0,IT1,SSC Napoli,80000000.0,8,0,11,9,3594,23
Luis Díaz,Colombia,Attack,right,180.0,GB1,Liverpool FC,75000000.0,4,0,13,5,3615,28
Alexander Isak,Sweden,Attack,right,192.0,GB1,Newcastle United,75000000.0,1,0,25,2,2973,25
Darwin Núñez,Uruguay,Attack,right,187.0,GB1,Liverpool FC,70000000.0,10,0,18,13,3026,25
Gabriel Martinelli,Brazil,Attack,right,178.0,GB1,Arsenal FC,70000000.0,1,0,8,5,2640,23
Leroy Sané,Germany,Attack,left,183.0,L1,Bayern Munich,70000000.0,5,0,10,13,3224,29
Nico Williams,Spain,Attack,right,181.0,ES1,Athletic Bilbao,70000000.0,7,0,8,19,2729,22
Jérémy Doku,Belgium,Attack,right,173.0,FR1,Stade Rennais FC,65000000.0,4,0,7,10,2282,22
Ollie Watkins,England,Attack,right,180.0,GB1,Aston Villa,65000000.0,5,0,22,13,3568,29
Rasmus Højlund,Denmark,Attack,left,191.0,GB1,Manchester United,65000000.0,2,0,16,2,3088,21
Marcus Thuram,France,Attack,right,192.0,IT1,Inter Milan,65000000.0,3,0,15,14,3366,27
Gabriel Jesus,Brazil,Attack,right,175.0,GB1,Arsenal FC,65000000.0,8,0,8,8,1910,27
Viktor Gyökeres,Sweden,Attack,right,187.0,PO1,Sporting CP,65000000.0,4,1,37,11,3692,26
Dušan Vlahović,Serbia,Attack,left,190.0,IT1,Juventus FC,65000000.0,9,0,18,3,2609,25
Anthony Gordon,England,Attack,right,182.0,GB1,Newcastle United,60000000.0,14,0,12,11,3869,23
Loïs Openda,Belgium,Attack,right,177.0,L1,RB Leipzig,60000000.0,5,0,28,7,3449,24
Marcus Rashford,England,Attack,right,185.0,GB1,Manchester United,60000000.0,2,1,8,5,3057,27
Ousmane Dembélé,France,Attack,both,178.0,FR1,Paris Saint-Germain,60000000.0,5,0,5,12,2529,27
Jack Grealish,England,Attack,right,180.0,GB1,Manchester City,60000000.0,8,0,3,3,2114,29
Mohamed Salah,Egypt,Attack,left,175.0,GB1,Liverpool FC,55000000.0,2,0,25,14,3132,32
Pedro Neto,Portugal,Attack,left,172.0,GB1,Wolverhampton Wanderers,55000000.0,5,0,3,11,1729,24
Michael Olise,France,Attack,left,184.0,GB1,Crystal Palace,55000000.0,0,0,10,6,1278,23
Moussa Diaby,France,Attack,left,170.0,GB1,Aston Villa,55000000.0,1,0,7,8,2494,25
Cody Gakpo,Netherlands,Attack,right,193.0,GB1,Liverpool FC,55000000.0,2,0,16,6,3017,25
Dejan Kulusevski,Sweden,Attack,left,186.0,GB1,Tottenham Hotspur,55000000.0,7,0,8,3,2964,24
Takefusa Kubo,Japan,Attack,left,173.0,ES1,Real Sociedad,50000000.0,3,0,7,5,2935,23
Joshua Zirkzee,Netherlands,Attack,right,193.0,IT1,Bologna FC 1909,50000000.0,8,0,12,7,2942,23
