country,chosen_formation,name,positions,role,overall_rating,potential,preferred_foot,height_cm,weight_kgs,predicted_score,age,nationality,weak_foot(1-5),skill_moves(1-5),national_rating,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
Albania,4-2-3-1,T. Strakosha,GK,GK,82.0,87,Right,193.04,78.0,863.6342954545444,23,Albania,2,1,,,18,18,11,26,11,14,14,12,22,15,41,46,45,74,47,18,56,23,66,14,20,24,18,49,21,61,20,18,12
Albania,4-2-3-1,E. Hysaj,RB,DF,80.0,85,Right,182.88,69.9,863.6342954545444,25,Albania,3,3,,,75,47,66,77,40,73,40,30,70,77,79,82,76,79,69,68,69,87,69,43,79,80,63,59,40,76,77,81,80
Albania,4-2-3-1,I. Balliu,RB,DF,73.0,74,Right,172.72,63.0,863.6342954545444,27,Albania,3,3,,,73,23,60,69,24,73,63,58,68,74,81,82,75,67,75,45,77,81,62,59,75,69,63,64,69,73,73,70,69
Albania,4-2-3-1,M. Mavraj,CB,DF,72.0,72,Left,187.96,83.9,863.6342954545444,32,Albania,3,2,,,44,25,77,60,33,29,43,43,45,57,33,44,49,64,44,29,70,63,78,26,74,67,20,49,51,65,75,76,72
Albania,4-2-3-1,F. Veseli,CB,DF,70.0,74,Right,182.88,79.8,863.6342954545444,26,Albania,3,2,,,62,35,68,64,23,62,41,44,56,65,69,76,63,62,69,48,72,62,70,35,70,68,42,44,45,65,69,72,70
Albania,4-2-3-1,T. Xhaka,CDM,MF,73.0,75,Right,172.72,72.1,863.6342954545444,27,Albania,3,3,,,71,54,46,71,53,68,53,63,67,71,72,77,69,68,76,73,72,92,75,74,90,70,61,63,60,73,74,68,75
Albania,4-2-3-1,E. Kaçe,CM,MF,72.0,75,Right,170.18,60.8,863.6342954545444,25,Albania,4,3,,,60,60,46,71,63,67,66,68,71,73,77,74,76,70,88,71,45,86,62,71,85,74,63,66,63,67,72,73,66
Albania,4-2-3-1,A. Ajdarević,CM,MF,71.0,71,Left,190.5,84.8,863.6342954545444,28,Albania,2,3,,,74,58,60,73,63,73,73,72,77,76,60,65,48,68,44,84,46,62,78,70,60,58,65,73,60,70,45,49,39
Albania,4-2-3-1,L. Memushaj,CM,MF,71.0,71,Right,175.26,69.9,863.6342954545444,32,Albania,4,3,,,63,52,44,74,61,70,68,67,70,71,76,66,90,70,88,65,59,78,63,70,67,70,64,70,66,75,68,62,62
Albania,4-2-3-1,A. Abrashi,CDM,MF,71.0,71,Right,172.72,71.2,863.6342954545444,28,Albania,2,2,,,52,53,38,65,47,60,51,45,59,63,67,64,82,68,87,74,74,83,68,61,89,73,56,60,54,58,71,75,76
Albania,4-2-3-1,S. Gashi,ST,FW,71.0,71,Left,182.88,74.8,863.6342954545444,30,Albania,3,3,,,67,66,73,71,75,68,76,75,69,70,67,71,75,69,66,79,78,67,69,71,77,53,71,66,70,66,51,55,45
Algeria,4-2-3-1,A. Oukidja,GK,GK,72.0,73,Right,182.88,78.9,874.432522727272,30,Algeria,2,1,,,13,14,16,24,15,14,11,18,27,12,48,45,54,66,58,26,67,35,65,19,40,18,11,31,24,56,12,19,12
Algeria,4-2-3-1,F. Ghoulam,LB,DF,81.0,81,Left,182.88,79.8,874.432522727272,28,Algeria,4,3,,,85,54,70,79,52,79,77,68,74,80,71,82,72,79,62,80,73,88,68,69,74,76,69,69,76,75,79,81,80
Algeria,4-2-3-1,A. Mandi,CB,DF,80.0,83,Right,182.88,78.0,874.432522727272,27,Algeria,3,2,,,78,41,83,79,49,66,67,49,75,74,67,68,78,78,65,52,82,69,74,49,69,84,67,68,35,74,79,82,84
Algeria,4-2-3-1,R. Bensebaini,LB,DF,75.0,79,Left,185.42,74.8,874.432522727272,23,Algeria,3,3,,,72,49,75,72,43,68,58,37,64,73,69,68,59,74,60,49,80,78,79,43,83,75,62,58,43,71,74,75,74
