name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
William Saliba,France,Defender,right,192.0,GB1,Arsenal FC,80000000.0,6,0,2,1,4502,23
Rúben Dias,Portugal,Defender,right,187.0,GB1,Manchester City,80000000.0,3,0,0,0,3818,27
Josko Gvardiol,Croatia,Defender,left,185.0,GB1,Manchester City,75000000.0,5,0,5,3,3479,23
Trent Alexander-Arnold,England,Defender,right,180.0,GB1,Liverpool FC,70000000.0,7,0,3,9,2617,26
Alessandro Bastoni,Italy,Defender,left,190.0,IT1,Inter Milan,70000000.0,5,0,1,4,2924,25
Ronald Araujo,Uruguay,Defender,right,192.0,ES1,FC Barcelona,70000000.0,10,1,1,2,3024,25
Gabriel Magalhães,Brazil,Defender,left,190.0,GB1,Arsenal FC,70000000.0,5,0,4,0,4331,27
Cristian Romero,Argentina,Defender,right,185.0,GB1,Tottenham Hotspur,65000000.0,7,1,5,0,2882,26
Matthijs de Ligt,Netherlands,Defender,right,189.0,L1,Bayern Munich,65000000.0,5,0,2,1,1924,25
Éder Militão,Brazil,Defender,right,186.0,ES1,Real Madrid,60000000.0,0,0,0,0,509,27
Bremer,Brazil,Defender,right,188.0,IT1,Juventus FC,60000000.0,10,0,3,0,3594,27
Theo Hernández,France,Defender,left,184.0,IT1,AC Milan,60000000.0,13,1,5,11,4055,27
Achraf Hakimi,Morocco,Defender,right,181.0,FR1,Paris Saint-Germain,60000000.0,7,0,5,6,3003,26
Nuno Mendes,Portugal,Defender,left,183.0,FR1,Paris Saint-Germain,55000000.0,4,0,1,1,688,22
Ben White,England,Defender,right,186.0,GB1,Arsenal FC,55000000.0,11,0,4,5,4086,27
Micky van de Ven,Netherlands,Defender,left,193.0,GB1,Tottenham Hotspur,55000000.0,6,0,3,0,2523,23
Alphonso Davies,Canada,Defender,left,185.0,L1,Bayern Munich,50000000.0,3,0,3,6,3013,24
Levi Colwill,England,Defender,left,187.0,GB1,Chelsea FC,50000000.0,3,0,1,1,2433,21
Benjamin Pavard,France,Defender,right,186.0,IT1,Inter Milan,50000000.0,8,0,0,3,2412,28
Marquinhos,Brazil,Defender,right,183.0,FR1,Paris Saint-Germain,50000000.0,3,0,0,3,2680,30
Leny Yoro,France,Defender,right,190.0,FR1,LOSC Lille,50000000.0,5,0,3,0,2842,19
Lisandro Martínez,Argentina,Defender,left,175.0,GB1,Manchester United,50000000.0,4,0,0,1,900,27
Federico Dimarco,Italy,Defender,left,175.0,IT1,Inter Milan,50000000.0,0,0,6,8,2685,27
Joshua Kimmich,Germany,Defender,right,177.0,L1,Bayern Munich,50000000.0,3,1,2,10,3503,29
Pedro Porro,Spain,Defender,right,173.0,GB1,Tottenham Hotspur,45000000.0,4,0,4,7,3273,25
António Silva,Portugal,Defender,right,187.0,PO1,SL Benfica,45000000.0,9,2,2,0,3822,21
Jules Koundé,France,Defender,right,180.0,ES1,FC Barcelona,45000000.0,5,0,2,4,4099,26
Gonçalo Inácio,Portugal,Defender,left,186.0,PO1,Sporting CP,45000000.0,10,0,4,1,3440,23
Destiny Udogie,Italy,Defender,left,188.0,GB1,Tottenham Hotspur,45000000.0,8,0,2,3,2578,22
Min-jae Kim,"Korea, South",Defender,right,190.0,L1,Bayern Munich,45000000.0,4,0,1,2,2765,28
Giorgio Scalvini,Italy,Defender,right,194.0,IT1,Atalanta BC,45000000.0,6,0,2,3,3224,21
Riccardo Calafiori,Italy,Defender,left,188.0,IT1,Bologna FC 1909,45000000.0,6,0,2,5,2537,22
Alejandro Grimaldo,Spain,Defender,left,171.0,L1,Bayer 04 Leverkusen,45000000.0,3,0,12,20,4077,29
Edmond Tapsoba,Burkina Faso,Defender,right,194.0,L1,Bayer 04 Leverkusen,45000000.0,7,0,3,1,3488,25
Ibrahima Konaté,France,Defender,right,194.0,GB1,Liverpool FC,45000000.0,7,0,0,1,2588,25
Pau Torres,Spain,Defender,left,192.0,GB1,Aston Villa,45000000.0,1,0,2,1,2706,28
Sven Botman,Netherlands,Defender,left,195.0,GB1,Newcastle United,45000000.0,2,0,2,2,1776,25
Dayot Upamecano,France,Defender,right,186.0,L1,Bayern Munich,45000000.0,4,1,1,0,2360,26
Manuel Akanji,Switzerland,Defender,right,188.0,GB1,Manchester City,45000000.0,8,0,4,0,3864,29
Jarrad Branthwaite,England,Defender,left,195.0,GB1,Everton FC,42000000.0,8,0,3,0,3657,22
Axel Disasi,France,Defender,right,190.0,GB1,Chelsea FC,40000000.0,6,0,3,0,3690,26
Andreas Christensen,Denmark,Defender,right,187.0,ES1,FC Barcelona,40000000.0,8,0,3,2,2790,28
Ian Maatsen,Netherlands,Defender,left,178.0,L1,Borussia Dortmund,40000000.0,10,0,3,2,2277,22
Nico Schlotterbeck,Germany,Defender,left,191.0,L1,Borussia Dortmund,40000000.0,10,0,2,5,4078,25
Castello Lukeba,France,Defender,left,184.0,L1,RB Leipzig,40000000.0,5,0,1,0,2968,22
Lucas Hernández,France,Defender,left,184.0,FR1,Paris Saint-Germain,40000000.0,9,0,2,2,2847,28
Fikayo Tomori,England,Defender,right,185.0,IT1,AC Milan,40000000.0,12,0,4,0,2845,27
Piero Hincapié,Ecuador,Defender,left,184.0,L1,Bayer 04 Leverkusen,40000000.0,3,0,1,1,2617,23
Nathan Aké,Netherlands,Defender,left,180.0,GB1,Manchester City,40000000.0,0,0,3,2,3057,29
Reece James,England,Defender,right,180.0,GB1,Chelsea FC,40000000.0,2,1,0,2,482,25
Robin Le Normand,Spain,Defender,right,187.0,ES1,Real Sociedad,40000000.0,17,0,2,0,3623,28
Alejandro Balde,Spain,Defender,left,175.0,ES1,FC Barcelona,40000000.0,2,0,1,1,2000,21
Ousmane Diomande,Cote d'Ivoire,Defender,right,190.0,PO1,Sporting CP,40000000.0,8,0,3,1,2797,21
Oleksandr Zinchenko,Ukraine,Defender,left,175.0,GB1,Arsenal FC,38000000.0,3,0,1,2,2082,28
Rico Lewis,England,Defender,right,169.0,GB1,Manchester City,38000000.0,1,0,2,4,1608,20
John Stones,England,Defender,right,188.0,GB1,Manchester City,38000000.0,2,0,1,2,1859,30
Jurrien Timber,Netherlands,Defender,right,179.0,GB1,Arsenal FC,38000000.0,2,0,0,0,147,23
Marc Guéhi,England,Defender,right,182.0,GB1,Crystal Palace,38000000.0,2,0,0,1,2254,24
Murillo,Brazil,Defender,left,184.0,GB1,Nottingham Forest,35000000.0,6,0,0,2,3165,22
Tino Livramento,England,Defender,right,182.0,GB1,Newcastle United,35000000.0,1,0,1,1,1892,22
Nayef Aguerd,Morocco,Defender,left,190.0,GB1,West Ham United,35000000.0,3,0,2,1,2358,28
Diogo Dalot,Portugal,Defender,right,183.0,GB1,Manchester United,35000000.0,7,0,3,5,4364,25
Rayan Aït-Nouri,Algeria,Defender,left,180.0,GB1,Wolverhampton Wanderers,35000000.0,8,0,3,2,2669,23
Takehiro Tomiyasu,Japan,Defender,right,188.0,GB1,Arsenal FC,35000000.0,2,0,2,3,1654,26
Ezri Konsa,England,Defender,right,183.0,GB1,Aston Villa,35000000.0,7,0,1,0,3464,27
Alessandro Buongiorno,Italy,Defender,left,190.0,IT1,Torino FC,35000000.0,7,0,3,1,2740,25
Odilon Kossounou,Cote d'Ivoire,Defender,right,191.0,L1,Bayer 04 Leverkusen,35000000.0,6,0,1,0,2295,24
Joachim Andersen,Denmark,Defender,right,192.0,GB1,Crystal Palace,35000000.0,8,0,2,3,3597,28
Jean-Clair Todibo,France,Defender,right,190.0,FR1,OGC Nice,35000000.0,2,1,0,2,2654,25
Mohamed Simakan,France,Defender,right,187.0,L1,RB Leipzig,35000000.0,12,0,3,4,2853,24
Willian Pacho,Ecuador,Defender,left,187.0,L1,Eintracht Frankfurt,35000000.0,8,0,0,2,3399,23
Dávid Hancko,Slovakia,Defender,left,188.0,NL1,Feyenoord Rotterdam,35000000.0,3,0,7,3,4325,27
Malo Gusto,France,Defender,right,178.0,GB1,Chelsea FC,35000000.0,7,1,0,9,2475,21
Lutsharel Geertruida,Netherlands,Defender,right,184.0,NL1,Feyenoord Rotterdam,32000000.0,5,0,9,5,4241,24
Max Kilman,England,Defender,left,194.0,GB1,Wolverhampton Wanderers,32000000.0,8,0,2,1,3981,27
Luke Shaw,England,Defender,left,178.0,GB1,Manchester United,32000000.0,7,0,0,1,1180,29
Ilya Zabarnyi,Ukraine,Defender,right,189.0,GB1,AFC Bournemouth,32000000.0,6,0,1,0,3816,22
Noussair Mazraoui,Morocco,Defender,right,183.0,L1,Bayern Munich,30000000.0,4,0,0,4,1982,27
Pervis Estupiñán,Ecuador,Defender,left,175.0,GB1,Brighton & Hove Albion,30000000.0,7,0,3,4,1783,27
Ferdi Kadıoğlu,Türkiye,Defender,right,174.0,TR1,Fenerbahce,30000000.0,3,0,2,5,3734,25
Andrew Robertson,Scotland,Defender,left,178.0,GB1,Liverpool FC,30000000.0,2,0,3,2,2194,30
Marc Cucurella,Spain,Defender,left,173.0,GB1,Chelsea FC,30000000.0,10,0,1,2,2233,26
Jonathan Tah,Germany,Defender,right,195.0,L1,Bayer 04 Leverkusen,30000000.0,10,0,6,1,3984,28
Benoît Badiashile,France,Defender,left,194.0,GB1,Chelsea FC,30000000.0,1,0,1,1,1666,23
Milan Skriniar,Slovakia,Defender,right,188.0,FR1,Paris Saint-Germain,30000000.0,3,0,1,0,2234,29
Hiroki Ito,Japan,Defender,left,188.0,L1,VfB Stuttgart,30000000.0,2,0,0,2,2502,25
Jakub Kiwior,Poland,Defender,left,189.0,GB1,Arsenal FC,30000000.0,2,0,1,3,1594,24
Cristhian Mosquera,Spain,Defender,right,191.0,ES1,Valencia CF,30000000.0,2,0,0,0,3252,20
Pau Cubarsí,Spain,Defender,right,184.0,ES1,FC Barcelona,30000000.0,6,0,0,1,1927,18
Jorrel Hato,Netherlands,Defender,left,182.0,NL1,Ajax Amsterdam,30000000.0,7,0,1,3,3772,18
Lucas Beraldo,Brazil,Defender,left,182.0,FR1,Paris Saint-Germain,30000000.0,5,1,1,0,1437,21
Virgil van Dijk,Netherlands,Defender,right,195.0,GB1,Liverpool FC,30000000.0,4,1,4,2,4072,33
Vitaliy Mykolenko,Ukraine,Defender,left,180.0,GB1,Everton FC,28000000.0,0,0,2,0,3041,25
Nahuel Molina,Argentina,Defender,right,175.0,ES1,Atlético de Madrid,28000000.0,5,1,2,5,3025,26
Matty Cash,Poland,Defender,right,185.0,GB1,Aston Villa,28000000.0,9,0,4,2,2555,27
Ben Chilwell,England,Defender,left,180.0,GB1,Chelsea FC,28000000.0,6,0,0,1,1172,28
Josip Stanisic,Croatia,Defender,both,187.0,L1,Bayer 04 Leverkusen,28000000.0,3,0,4,6,2354,24
Aaron Hickey,Scotland,Defender,both,185.0,GB1,Brentford FC,28000000.0,5,0,0,0,812,22
Joe Gomez,England,Defender,right,188.0,GB1,Liverpool FC,28000000.0,7,0,0,3,3133,27
Olivier Boscagli,France,Defender,left,181.0,NL1,PSV Eindhoven,27000000.0,5,0,3,4,4075,27
Kevin Danso,Austria,Defender,right,190.0,FR1,RC Lens,25000000.0,9,0,1,0,3285,26
Gianluca Mancini,Italy,Defender,right,190.0,IT1,AS Roma,25000000.0,12,1,7,1,4049,28
Mario Hermoso,Spain,Defender,left,184.0,ES1,Atlético de Madrid,25000000.0,15,0,2,2,3802,29
Wilfried Singo,Cote d'Ivoire,Defender,right,190.0,FR1,AS Monaco,25000000.0,8,1,1,1,2188,24
Kurt Zouma,France,Defender,right,190.0,GB1,West Ham United,25000000.0,4,0,3,0,3379,30
Nathan Collins,Ireland,Defender,right,193.0,GB1,Brentford FC,25000000.0,3,0,2,1,2950,23
José Gayà,Spain,Defender,left,172.0,ES1,Valencia CF,25000000.0,3,0,2,3,1917,29
Andrea Cambiaso,Italy,Defender,both,182.0,IT1,Juventus FC,25000000.0,10,0,3,6,2723,24
Evan Ndicka,Cote d'Ivoire,Defender,left,192.0,IT1,AS Roma,25000000.0,11,0,0,3,2924,25
Perr Schuurs,Netherlands,Defender,right,191.0,IT1,Torino FC,25000000.0,2,0,1,0,861,25
Tyrick Mitchell,England,Defender,left,181.0,GB1,Crystal Palace,25000000.0,6,0,2,3,3544,25
Facundo Medina,Argentina,Defender,left,184.0,FR1,RC Lens,25000000.0,15,0,1,4,3329,25
Antonio Rüdiger,Germany,Defender,right,190.0,ES1,Real Madrid,25000000.0,8,0,2,3,4076,31
João Cancelo,Portugal,Defender,right,182.0,ES1,FC Barcelona,25000000.0,8,0,4,5,3318,30
Antonee Robinson,United States,Defender,left,183.0,GB1,Fulham FC,25000000.0,6,0,0,7,3749,27
Yan Couto,Brazil,Defender,right,168.0,ES1,Girona FC,25000000.0,9,0,2,10,2483,22
Radu Drăgușin,Romania,Defender,right,191.0,IT1,Genoa CFC,25000000.0,2,0,2,1,2358,22
Dani Vivian,Spain,Defender,right,184.0,ES1,Athletic Bilbao,25000000.0,8,0,0,1,3493,25
Malick Thiaw,Germany,Defender,right,194.0,IT1,AC Milan,25000000.0,6,1,0,1,2161,23
Michael Kayode,Italy,Defender,right,179.0,IT1,ACF Fiorentina,25000000.0,2,0,1,2,2489,20
Miguel Gutiérrez,Spain,Defender,left,180.0,ES1,Girona FC,25000000.0,4,0,2,9,3378,23
Daniel Muñoz,Colombia,Defender,right,181.0,BE1,KRC Genk,23000000.0,11,0,6,6,3484,28
Quilindschy Hartman,Netherlands,Defender,left,183.0,NL1,Feyenoord Rotterdam,23000000.0,4,0,0,7,3172,23
Jarell Quansah,England,Defender,right,190.0,GB1,Liverpool FC,22000000.0,2,0,3,3,2494,22
Ferland Mendy,France,Defender,left,180.0,ES1,Real Madrid,22000000.0,6,0,1,0,2835,29
Aitor Paredes,Spain,Defender,right,185.0,ES1,Athletic Bilbao,22000000.0,10,0,1,0,3306,24
Konstantinos Tsimikas,Greece,Defender,left,179.0,GB1,Liverpool FC,22000000.0,0,0,0,4,1465,28
Marcos Senesi,Argentina,Defender,left,185.0,GB1,AFC Bournemouth,22000000.0,15,0,4,5,2680,27
José María Giménez,Uruguay,Defender,right,185.0,ES1,Atlético de Madrid,22000000.0,8,0,0,1,2225,30
Taylor Harwood-Bellis,England,Defender,right,188.0,GB1,Manchester City,22000000.0,0,0,0,1,171,23
Igor Zubeldia,Spain,Defender,right,181.0,ES1,Real Sociedad,22000000.0,15,1,0,2,3698,27
Sergiño Dest,United States,Defender,right,173.0,NL1,PSV Eindhoven,22000000.0,1,0,2,7,3123,24
Tosin Adarabioyo,England,Defender,right,196.0,GB1,Fulham FC,20000000.0,2,0,2,0,1996,27
Arthur Theate,Belgium,Defender,left,185.0,FR1,Stade Rennais FC,20000000.0,5,0,2,0,2939,24
Milos Kerkez,Hungary,Defender,left,180.0,GB1,AFC Bournemouth,20000000.0,6,1,0,1,2351,21
Waldemar Anton,Germany,Defender,right,189.0,L1,VfB Stuttgart,20000000.0,8,0,1,4,3248,28
Aaron Wan-Bissaka,England,Defender,right,183.0,GB1,Manchester United,20000000.0,5,0,0,3,2411,27
Julian Ryerson,Norway,Defender,right,183.0,L1,Borussia Dortmund,20000000.0,5,0,4,1,2940,27
Aymeric Laporte,Spain,Defender,left,191.0,GB1,Manchester City,20000000.0,0,0,0,0,11,30
Eric García,Spain,Defender,right,182.0,ES1,Girona FC,20000000.0,4,0,5,0,2726,24
Konstantinos Mavropanos,Greece,Defender,right,194.0,L1,VfB Stuttgart,20000000.0,2,0,1,0,2706,27
Rico Henry,England,Defender,left,170.0,GB1,Brentford FC,20000000.0,1,0,0,1,402,27
Maxence Lacroix,France,Defender,right,190.0,L1,VfL Wolfsburg,20000000.0,6,2,4,1,2665,24
Issa Diop,France,Defender,right,194.0,GB1,Fulham FC,20000000.0,5,0,1,0,1949,28
Adam Webster,England,Defender,right,190.0,GB1,Brighton & Hove Albion,20000000.0,3,0,0,0,1270,30
Vanderson,Brazil,Defender,right,173.0,FR1,AS Monaco,20000000.0,6,0,3,1,1649,23
Benjamin Henrichs,Germany,Defender,right,185.0,L1,RB Leipzig,20000000.0,7,0,1,8,3289,27
Isak Hien,Sweden,Defender,right,191.0,IT1,Hellas Verona,20000000.0,8,1,0,1,2622,26
David Raum,Germany,Defender,left,180.0,L1,RB Leipzig,20000000.0,8,0,3,13,3555,26
Toti,Portugal,Defender,left,187.0,GB1,Wolverhampton Wanderers,20000000.0,7,0,2,3,3406,26
Leonardo Balerdi,Argentina,Defender,right,187.0,FR1,Olympique Marseille,20000000.0,11,0,2,1,3395,26
David Alaba,Austria,Defender,left,180.0,ES1,Real Madrid,20000000.0,3,0,0,2,1407,32
Pierre Kalulu,France,Defender,right,182.0,IT1,AC Milan,20000000.0,1,0,0,0,505,24
Caio Henrique,Brazil,Defender,left,178.0,FR1,AS Monaco,20000000.0,0,0,0,5,625,27
Raphaël Varane,France,Defender,right,191.0,GB1,Manchester United,20000000.0,2,0,1,0,2211,31
Bafodé Diakité,France,Defender,right,185.0,FR1,LOSC Lille,18000000.0,5,0,5,2,1736,24
Adrien Truffert,France,Defender,left,176.0,FR1,Stade Rennais FC,18000000.0,8,0,2,3,2709,23
Sam Beukema,Netherlands,Defender,right,188.0,IT1,Bologna FC 1909,18000000.0,6,0,2,1,2879,26
Mykola Matvienko,Ukraine,Defender,left,182.0,UKR1,Shakhtar Donetsk,18000000.0,7,0,5,1,2970,28
Lewis Hall,England,Defender,left,179.0,GB1,Newcastle United,18000000.0,3,0,2,0,967,20
Sacha Boey,France,Defender,right,178.0,TR1,Galatasaray,18000000.0,8,0,2,0,2899,24
Robin Koch,Germany,Defender,right,191.0,L1,Eintracht Frankfurt,18000000.0,11,0,2,2,3142,28
Renan Lodi,Brazil,Defender,left,173.0,FR1,Olympique Marseille,18000000.0,7,0,0,1,1859,26
Emerson Royal,Brazil,Defender,right,183.0,GB1,Tottenham Hotspur,18000000.0,4,0,1,0,1335,26
Lloyd Kelly,England,Defender,left,190.0,GB1,AFC Bournemouth,18000000.0,2,0,1,1,1646,26
