name,country_of_citizenship,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name,market_value_in_eur,yellow_cards,red_cards,goals,assists,minutes_played,age
Jude Bellingham,England,Midfield,right,186.0,ES1,Real Madrid,180000000.0,9,1,23,13,3644,21
Jamal Musiala,Germany,Midfield,right,184.0,L1,Bayern Munich,130000000.0,3,0,12,8,2860,21
Florian Wirtz,Germany,Midfield,right,177.0,L1,Bayer 04 Leverkusen,130000000.0,7,0,18,20,3475,21
Rodri,Spain,Midfield,right,191.0,GB1,Manchester City,130000000.0,10,1,9,14,4327,28
Federico Valverde,Uruguay,Midfield,right,182.0,ES1,Real Madrid,120000000.0,2,0,3,8,4280,26
Declan Rice,England,Midfield,right,188.0,GB1,Arsenal FC,120000000.0,7,0,7,10,4274,26
Martin Ødegaard,Norway,Midfield,left,178.0,GB1,Arsenal FC,110000000.0,2,0,11,11,4053,26
Aurélien Tchouaméni,France,Midfield,right,188.0,ES1,Real Madrid,100000000.0,10,0,3,1,2809,25
Eduardo Camavinga,France,Midfield,left,182.0,ES1,Real Madrid,100000000.0,13,0,0,4,2824,22
Gavi,Spain,Midfield,right,173.0,ES1,FC Barcelona,90000000.0,8,0,2,1,1172,20
Bruno Guimarães,Brazil,Midfield,right,182.0,GB1,Newcastle United,85000000.0,14,0,7,10,4360,27
Pedri,Spain,Midfield,right,174.0,ES1,FC Barcelona,80000000.0,3,0,4,5,2027,22
Xavi Simons,Netherlands,Midfield,right,179.0,L1,RB Leipzig,80000000.0,12,0,10,15,3468,21
Cole Palmer,England,Midfield,left,189.0,GB1,Manchester City,80000000.0,8,0,27,15,3734,22
Nicolò Barella,Italy,Midfield,right,175.0,IT1,Inter Milan,80000000.0,10,0,2,7,3502,27
Dominik Szoboszlai,Hungary,Midfield,right,187.0,GB1,Liverpool FC,75000000.0,1,0,7,4,2704,24
Moisés Caicedo,Ecuador,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,15,0,1,4,3899,23
Enzo Fernández,Argentina,Midfield,right,178.0,GB1,Chelsea FC,75000000.0,10,0,7,3,3093,24
Alexis Mac Allister,Argentina,Midfield,right,176.0,GB1,Liverpool FC,75000000.0,10,1,7,7,3501,26
Bruno Fernandes,Portugal,Midfield,right,179.0,GB1,Manchester United,70000000.0,12,0,15,13,4285,30
James Maddison,England,Midfield,right,175.0,GB1,Tottenham Hotspur,70000000.0,5,0,4,9,2179,28
Douglas Luiz,Brazil,Midfield,right,177.0,GB1,Aston Villa,70000000.0,13,0,10,6,3451,26
Bernardo Silva,Portugal,Midfield,left,173.0,GB1,Manchester City,70000000.0,9,0,11,10,3798,30
Frenkie de Jong,Netherlands,Midfield,right,181.0,ES1,FC Barcelona,70000000.0,10,0,2,0,2512,27
Kai Havertz,Germany,Midfield,left,193.0,GB1,Arsenal FC,70000000.0,14,0,14,7,3827,25
Christopher Nkunku,France,Midfield,right,177.0,GB1,Chelsea FC,65000000.0,0,0,3,0,516,27
Lucas Paquetá,Brazil,Midfield,left,180.0,GB1,West Ham United,65000000.0,13,0,8,7,3478,27
Warren Zaïre-Emery,France,Midfield,right,178.0,FR1,Paris Saint-Germain,60000000.0,5,0,3,6,2957,18
Dani Olmo,Spain,Midfield,right,179.0,L1,RB Leipzig,60000000.0,1,0,8,5,1715,26
João Neves,Portugal,Midfield,right,174.0,PO1,SL Benfica,55000000.0,4,0,3,2,3769,20
Vitinha,Portugal,Midfield,right,172.0,FR1,Paris Saint-Germain,55000000.0,7,0,15,8,4647,24
João Palhinha,Portugal,Midfield,right,190.0,GB1,Fulham FC,55000000.0,13,0,4,1,3178,29
Kobbie Mainoo,England,Midfield,right,180.0,GB1,Manchester United,55000000.0,4,0,5,1,2405,19
Eberechi Eze,England,Midfield,right,178.0,GB1,Crystal Palace,55000000.0,4,0,11,6,2285,26
Martín Zubimendi,Spain,Midfield,right,181.0,ES1,Real Sociedad,50000000.0,5,0,4,1,3735,25
Mikel Merino,Spain,Midfield,left,189.0,ES1,Real Sociedad,50000000.0,14,0,8,5,3601,28
Kevin De Bruyne,Belgium,Midfield,right,181.0,GB1,Manchester City,50000000.0,3,0,6,18,1750,33
Teun Koopmeiners,Netherlands,Midfield,left,184.0,IT1,Atalanta BC,50000000.0,7,0,15,7,3924,26
Mohammed Kudus,Ghana,Midfield,left,177.0,NL1,Ajax Amsterdam,50000000.0,7,0,18,7,3781,24
Jeremie Frimpong,Netherlands,Midfield,right,172.0,L1,Bayer 04 Leverkusen,50000000.0,7,0,14,12,3364,24
Amadou Onana,Belgium,Midfield,right,195.0,GB1,Everton FC,50000000.0,5,0,3,1,2698,23
Conor Gallagher,England,Midfield,right,182.0,GB1,Chelsea FC,50000000.0,10,0,7,9,4036,24
Matheus Nunes,Portugal,Midfield,right,183.0,GB1,Wolverhampton Wanderers,50000000.0,3,0,0,5,1540,26
Manuel Ugarte,Uruguay,Midfield,right,182.0,FR1,Paris Saint-Germain,45000000.0,7,0,0,3,2325,23
Pape Matar Sarr,Senegal,Midfield,right,184.0,GB1,Tottenham Hotspur,45000000.0,9,0,3,3,2103,22
Exequiel Palacios,Argentina,Midfield,right,178.0,L1,Bayer 04 Leverkusen,45000000.0,8,0,6,5,2661,26
Hakan Çalhanoğlu,Türkiye,Midfield,right,178.0,IT1,Inter Milan,45000000.0,9,0,15,3,3260,30
Joelinton,Brazil,Midfield,right,186.0,GB1,Newcastle United,40000000.0,9,0,3,4,1844,28
Julian Brandt,Germany,Midfield,right,185.0,L1,Borussia Dortmund,40000000.0,2,0,10,16,3247,28
Éderson,Brazil,Midfield,right,183.0,IT1,Atalanta BC,40000000.0,10,0,7,1,4177,25
Morgan Gibbs-White,England,Midfield,right,171.0,GB1,Nottingham Forest,40000000.0,9,0,6,10,3526,25
Brais Méndez,Spain,Midfield,left,184.0,ES1,Real Sociedad,40000000.0,8,0,8,9,3318,28
Joey Veerman,Netherlands,Midfield,right,185.0,NL1,PSV Eindhoven,40000000.0,3,0,7,19,3420,26
Álex Baena,Spain,Midfield,right,174.0,ES1,Villarreal CF,40000000.0,15,1,5,18,3137,23
Morten Hjulmand,Denmark,Midfield,right,185.0,PO1,Sporting CP,40000000.0,12,0,3,2,3006,25
Brahim Díaz,Morocco,Midfield,both,170.0,ES1,Real Madrid,40000000.0,2,0,12,9,2066,25
Sandro Tonali,Italy,Midfield,right,181.0,GB1,Newcastle United,38000000.0,3,0,1,0,692,24
Boubacar Kamara,France,Midfield,right,184.0,GB1,Aston Villa,38000000.0,7,1,1,1,2085,25
Harvey Elliott,England,Midfield,left,170.0,GB1,Liverpool FC,35000000.0,4,0,4,11,2786,21
Fabián Ruiz,Spain,Midfield,left,189.0,FR1,Paris Saint-Germain,35000000.0,5,0,1,5,1817,28
Mason Mount,England,Midfield,right,181.0,GB1,Manchester United,35000000.0,2,0,1,1,756,26
Ryan Gravenberch,Netherlands,Midfield,right,190.0,L1,Bayern Munich,35000000.0,2,0,4,2,1848,22
Cheick Doucouré,Mali,Midfield,right,180.0,GB1,Crystal Palace,35000000.0,2,0,0,0,982,25
Alan Varela,Argentina,Midfield,right,177.0,PO1,FC Porto,35000000.0,8,0,2,3,2945,23
Jacob Ramsey,England,Midfield,right,180.0,GB1,Aston Villa,35000000.0,2,0,1,2,960,23
Adrien Rabiot,France,Midfield,left,188.0,IT1,Juventus FC,35000000.0,8,0,5,3,3012,29
João Gomes,Brazil,Midfield,right,176.0,GB1,Wolverhampton Wanderers,35000000.0,11,1,2,1,2865,23
Oihan Sancet,Spain,Midfield,right,188.0,ES1,Athletic Bilbao,35000000.0,7,1,6,6,2496,24
Rodrigo Bentancur,Uruguay,Midfield,right,187.0,GB1,Tottenham Hotspur,35000000.0,7,0,1,1,1163,27
Davide Frattesi,Italy,Midfield,right,178.0,IT1,Inter Milan,35000000.0,3,0,8,7,1555,25
Edson Álvarez,Mexico,Midfield,right,190.0,GB1,West Ham United,35000000.0,17,0,2,2,3155,27
Georgiy Sudakov,Ukraine,Midfield,both,177.0,UKR1,Shakhtar Donetsk,35000000.0,7,0,10,6,2743,22
Roméo Lavia,Belgium,Midfield,right,181.0,GB1,Chelsea FC,35000000.0,0,0,0,0,32,21
Curtis Jones,England,Midfield,right,185.0,GB1,Liverpool FC,35000000.0,3,1,5,3,2032,24
Yves Bissouma,Mali,Midfield,right,182.0,GB1,Tottenham Hotspur,35000000.0,10,1,0,0,2083,28
Khéphren Thuram,France,Midfield,right,192.0,FR1,OGC Nice,35000000.0,7,0,1,1,2114,23
Charles De Ketelaere,Belgium,Midfield,left,192.0,IT1,Atalanta BC,34000000.0,1,0,14,11,2940,23
Scott McTominay,Scotland,Midfield,right,191.0,GB1,Manchester United,32000000.0,4,0,10,3,2775,28
